"doc_id","text"
"1130310470479622144","I really spent 8 years watching this show for bran to be king, dany dead and jon back at the nightwatch??? yall.... #GameOfThronesFinale https://t.co/jWlAJ6kOJM"
"1130310470404136961","simplesmente CAGARAM at<U+00E9> na porra do jon. poderiam aproveitar o personagem de v<U+00E1>rias formas... n ligaram pra nada. ficou desconexo. tentaram desenvolver tantas coisas e no final n deu em nd. 
targaryen? n adiantou de nada
pr<U+00ED>ncipe prometido? 
gelo e fogo? 
#GameOfThronesFinale"
"1130310311226028033","Pelo menos o Bran n<U+00E3>o vai passar a perna em ningu<U+00E9>m  #GameOfThronesFinale https://t.co/gKWm8pRsrR"
"1130310470362193923","no meu universo paralelo <U+00E0> muralha vai ser reconstru<U+00ED>da com alta tecnologia, mais resistente que gelo. #GameOfThronesFinale https://t.co/ouhocWpLng"
"1130310470269853697","Me really thinking Jon snow would rule the 7 kingdoms #GameOfThronesFinale https://t.co/oecBuX29DQ"
"1130310470211006464","How do say goodbye to the eight years of #GameofThrones?

#GameOfThronesFinale
#ForTheThrone
 https://t.co/TLFFUtNYun"
"1130310469846224896","O povo t<U+00E1> dizendo que era pro Dragon queimar o Jon.

Mas o Jon n<U+00E3>o era Targaryen?

N<U+00E3>o <U+00E9> imunidade ao fogo?

#GameOfThronesFinale"
"1130310469816901632","Bran depois de todo esse rebuceteio podendo F1 em paz no trono 
#GameOfThronesFinale #GameofThrones https://t.co/UwZUv5HpA1"
"1130310325855817729","Foda foi a Brienne escrevendo td a trajet<U+00F3>ria do Jaime. #GameOfThronesFinale https://t.co/HU2HfiMKRE"
"1130310469749825536","Por los dioses antiguos y nuevos, gracias por estos 8 a<U+00F1>os #GameOfThrones<U+0001F981><U+0001F43A><U+0001F409><U+2694><U+FE0F>
#GameOfThronesFinale https://t.co/WtpRA2TS6a"
"1130310469686890497","Et c'est ainsi que s'ach<U+00E8>ve #GameofThrones 
Notre tour de garde est maintenant termin<U+00E9>. #Team3H
Merci d'avoir suivi la s<U+00E9>rie sur OCS ! #OCSGOT 
#GameofThronesFinale https://t.co/mdOYKANbTS"
"1130310469556875266","<U+00FA>nica coisa que valeu a pena de ver #GameOfThronesFinale #GameOfThrones https://t.co/xDzUwVBrzR"
"1130310469477179392","Yo tratando de aceptar el final #GameOfThronesFinale https://t.co/Hzuf1lQ66F"
"1130310469313601537","Ao menos algo para nos orgulhar! Sansa, legitima rainha do norte. #GameofThronesFinale #TheFinalEpisode https://t.co/4xxFT7H9l5"
"1130310469250637825","Finally we join them #GameOfThronesFinale https://t.co/P7MVrgv3e2"
"1130310469225521152","Drogon ao inv<U+00E9>s de tacar fogo no Jon Snow, ele tacou fogo no que realmente matou a Daenerys, o trono #GameOfThronesFinale #GameOfThrones https://t.co/wsS8wx8Eqi"
"1130310469116465152","GRATEFUL FOR GAME OF THRONES (a thread)
Game of Thrones matched to your favorite #GratefulDead songs! Check out our playlist &amp; more here: https://t.co/PvdSbtFWh1
SPOILERS AHEAD! #GameofThronesFinale #ForTheThrone https://t.co/PDlC6Xnw9U"
"1130310469091241986","Jon Snow at the last episode of #GameOfThrones #GameOfThronesFinale  be like https://t.co/Wap9UrcOdU"
"1130310469036564480","FIRST SPIN-OFF
""THE WALL""

The life of Jon Snow and Tormund
HBO, 2020 

#GameOfThronesFinale #GameOfThrones https://t.co/MOV1kjhpz3"
"1130310469028405250","Bran <U+00E9> o bich<U+00E3>o memo hein, nunca imaginei , pelo menos n precisa levantar ner kkkkkk

#DomingoDetremuraSDV 
#GameOfThronesFinale 
#GameOfThrones"
"1130310468986462208","Worse pain in my soul than the day I found out about #batfleck .... #GamefThrones #GameOfThronesFinale #GOTFinale"
"1130310468977999872","SO WHAT LESSON WE LEARN FROM #GOT TODAY THAT NEVER TRUST A MAN.
#GameOfThronesFinale https://t.co/JgefjJRrD1"
"1130310468952887297","Comparte este Brand de la suerte para que te contraten sin experiencia #GameOfThronesFinale https://t.co/zWqBDz0eFu"
"1130310468629860353","Yo despu<U+00E9>s de ver el final de GOT #GameOfThronesFinale https://t.co/hqDWgclHyR"
