Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
I1,21/01/22,Benevento,Torino,2,2,D,1,0,H,11,16,3,7,17,20,6,4,1,3,0,0
I1,21/01/23,Roma,Spezia,4,3,H,1,1,D,18,5,10,4,12,13,3,1,3,1,0,0
I1,21/01/23,Milan,Atalanta,0,3,A,0,1,A,16,20,3,9,10,13,5,7,2,1,0,0
I1,21/01/23,Udinese,Inter,0,0,D,0,0,D,8,11,2,5,11,16,3,4,3,2,0,0
I1,21/01/23,Fiorentina,Crotone,2,1,H,2,0,H,14,10,7,4,11,17,5,3,2,2,0,0
I1,21/01/24,Juventus,Bologna,2,0,H,1,0,H,24,11,12,3,11,17,7,6,3,2,0,0
I1,21/01/24,Genoa,Cagliari,1,0,H,1,0,H,15,14,6,5,11,6,4,7,1,2,0,0
I1,21/01/24,Hellas Verona,Napoli,3,1,H,1,1,D,14,13,8,3,13,8,3,3,2,3,0,0
I1,21/01/24,Lazio,Sassuolo,2,1,H,1,1,D,20,6,7,2,15,15,9,6,2,3,0,0
I1,21/01/24,Parma,Sampdoria,0,2,A,0,2,A,14,11,5,4,14,14,5,5,1,1,0,0
I1,21/01/29,Torino,Fiorentina,1,1,D,0,0,D,16,9,4,2,20,15,7,2,2,2,0,2
I1,21/01/30,Bologna,Milan,1,2,A,0,1,A,11,19,6,12,12,12,6,4,2,1,0,0
I1,21/01/30,Sampdoria,Juventus,0,2,A,0,1,A,7,10,2,4,10,10,5,8,4,2,0,0
I1,21/01/30,Inter,Benevento,4,0,H,1,0,H,14,2,9,0,9,14,7,3,0,2,0,0
I1,21/01/31,Spezia,Udinese,0,1,A,0,0,D,12,6,6,3,17,19,2,2,5,3,1,1
I1,21/01/31,Crotone,Genoa,0,3,A,0,2,A,8,13,5,6,15,21,3,11,3,1,0,0
I1,21/01/31,Atalanta,Lazio,1,3,A,0,1,A,8,10,3,7,12,20,2,2,0,2,0,0
I1,21/01/31,Cagliari,Sassuolo,1,1,D,0,0,D,7,16,5,7,9,11,3,14,2,3,0,0
I1,21/01/31,Napoli,Parma,2,0,H,1,0,H,11,6,4,2,15,16,7,6,2,4,0,0
I1,21/01/31,Roma,Hellas Verona,3,1,H,3,0,H,15,9,6,2,15,12,4,5,2,1,0,0
I1,21/02/05,Fiorentina,Inter,0,2,A,0,1,A,22,15,4,7,9,10,7,7,3,1,0,0
I1,21/02/06,Sassuolo,Spezia,1,2,A,1,1,D,8,12,4,5,21,15,5,5,2,3,0,0
I1,21/02/06,Atalanta,Torino,3,3,D,3,2,H,13,18,5,5,22,17,4,3,3,2,0,0
I1,21/02/06,Juventus,Roma,2,0,H,1,0,H,5,16,3,4,9,13,2,9,2,2,0,0
I1,21/02/06,Genoa,Napoli,2,1,H,2,0,H,5,26,3,10,13,11,1,6,2,2,0,0
I1,21/02/07,Benevento,Sampdoria,1,1,D,0,0,D,13,13,4,6,16,18,2,10,4,2,0,0
I1,21/02/07,Milan,Crotone,4,0,H,1,0,H,22,10,11,2,16,9,8,6,3,1,0,0
I1,21/02/07,Udinese,Hellas Verona,2,0,H,0,0,D,22,8,8,0,9,15,10,8,2,4,0,0
I1,21/02/07,Parma,Bologna,0,3,A,0,2,A,17,16,6,7,13,13,5,1,2,1,0,0
I1,21/02/07,Lazio,Cagliari,1,0,H,0,0,D,15,8,7,3,16,14,12,2,2,2,0,0
I1,21/02/12,Bologna,Benevento,1,1,D,1,0,H,12,14,3,7,17,10,8,3,3,2,0,0
I1,21/02/13,Torino,Genoa,0,0,D,0,0,D,11,8,3,3,12,15,3,5,2,4,0,0
I1,21/02/13,Napoli,Juventus,1,0,H,1,0,H,9,24,3,7,9,18,3,9,2,3,0,0
I1,21/02/13,Spezia,Milan,2,0,H,0,0,D,17,8,5,0,18,13,5,2,3,1,0,0
I1,21/02/14,Roma,Udinese,3,0,H,2,0,H,15,9,6,2,17,7,7,2,2,0,0,0
I1,21/02/14,Cagliari,Atalanta,0,1,A,0,0,D,5,12,0,3,17,14,6,6,3,3,0,0
I1,21/02/14,Sampdoria,Fiorentina,2,1,H,1,1,D,9,23,4,8,13,11,6,7,1,3,0,0
I1,21/02/14,Crotone,Sassuolo,1,2,A,1,1,D,8,24,5,5,14,15,7,8,1,1,0,0
I1,21/02/14,Inter,Lazio,3,1,H,2,0,H,14,21,9,8,7,3,4,0,2,1,0,0
I1,21/02/15,Hellas Verona,Parma,2,1,H,1,1,D,12,14,5,3,14,15,4,4,4,2,0,0
I1,21/02/19,Fiorentina,Spezia,3,0,H,0,0,D,11,11,7,3,20,11,0,6,4,0,0,0
I1,21/02/19,Cagliari,Torino,0,1,A,0,0,D,22,11,3,6,18,20,8,3,3,2,0,0
I1,21/02/20,Lazio,Sampdoria,1,0,H,1,0,H,15,11,8,0,14,16,4,5,4,3,0,0
I1,21/02/20,Genoa,Hellas Verona,2,2,D,0,1,A,12,10,4,4,11,17,5,1,1,1,0,0
I1,21/02/20,Sassuolo,Bologna,1,1,D,0,1,A,33,5,11,3,15,8,10,6,1,0,0,1
I1,21/02/21,Parma,Udinese,2,2,D,2,0,H,13,12,5,4,17,14,3,2,7,4,0,0
I1,21/02/21,Milan,Inter,0,3,A,0,1,A,17,16,9,7,9,11,7,7,2,1,0,0
I1,21/02/21,Atalanta,Napoli,4,2,H,0,0,D,17,5,7,3,18,10,6,2,2,1,0,0
I1,21/02/21,Benevento,Roma,0,0,D,0,0,D,7,11,4,3,11,18,1,9,3,1,1,0
I1,21/02/22,Juventus,Crotone,3,0,H,2,0,H,28,16,7,3,19,8,7,3,3,1,0,0
I1,21/02/27,Spezia,Parma,2,2,D,0,2,A,12,10,5,5,18,17,8,2,3,4,0,0
I1,21/02/27,Bologna,Lazio,2,0,H,1,0,H,12,23,6,8,9,18,4,7,1,2,0,0
I1,21/02/27,Hellas Verona,Juventus,1,1,D,0,0,D,15,18,6,6,19,15,8,5,2,2,0,0
I1,21/02/28,Sampdoria,Atalanta,0,2,A,0,1,A,9,26,3,9,7,18,5,6,1,3,0,0
I1,21/02/28,Crotone,Cagliari,0,2,A,0,0,D,17,10,4,5,17,14,7,4,2,3,0,1
I1,21/02/28,Udinese,Fiorentina,1,0,H,0,0,D,10,9,4,2,12,20,3,9,1,2,0,0
I1,21/02/28,Inter,Genoa,3,0,H,1,0,H,26,4,13,3,12,8,9,1,0,2,0,0
I1,21/02/28,Napoli,Benevento,2,0,H,1,0,H,18,4,6,3,13,15,8,2,2,2,1,0
I1,21/02/28,Roma,Milan,1,2,A,0,1,A,20,18,9,10,14,10,5,8,3,3,0,0
I1,21/03/02,Juventus,Spezia,3,0,H,0,0,D,18,12,8,0,13,14,5,10,2,0,0,0
I1,21/03/03,Sassuolo,Napoli,3,3,D,2,1,H,14,18,6,7,16,13,6,4,2,2,0,0
I1,21/03/03,Cagliari,Bologna,1,0,H,1,0,H,11,15,4,6,16,18,10,4,2,2,0,0
I1,21/03/03,Atalanta,Crotone,5,1,H,1,1,D,21,5,10,3,7,13,4,3,0,2,0,0
I1,21/03/03,Fiorentina,Roma,1,2,A,0,0,D,9,13,3,7,10,14,2,3,1,2,0,0
I1,21/03/03,Genoa,Sampdoria,1,1,D,0,0,D,7,11,2,6,16,17,2,4,1,0,0,0
I1,21/03/03,Milan,Udinese,1,1,D,0,0,D,13,6,8,2,23,12,7,2,4,1,0,0
